bhk,rent,size,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,posted_on,floor_level,suburb,id
2,16000,950,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,June,1,Ramamurthy Nagar,1082
2,9500,530,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Byatarayanapura,1083
1,12000,450,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,3,BTM Layout,1084
1,10000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,June,Ground,HAL Old Airport Rd,1085
1,11000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Chamrajpet,1086
2,11000,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Hosur Rd,1087
2,20000,1105,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,1,Electronics City Phase 1,1088
3,24000,1430,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,3,Subramanyapura,1089
2,14500,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Krishnarajapura,1090
1,4000,650,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Byatarayanapura,1091
2,8500,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,July,1,Vijayanagar,1092
1,9000,400,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Munnekollal,1093
2,12000,900,Super Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,May,1,Phase 2,1094
3,32000,1300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Outer Ring Rd,1095
2,15000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,Ground,Horamavu,1096
2,12000,900,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent,June,Ground,Babusapalya,1097
1,7000,800,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Agent,June,1,Babusapalya,1098
2,15000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,April,1,1st Phase,1099
3,48000,2000,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,May,2,Pulikeshi Nagar,1100
1,7000,550,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Chikkalasandra,1101
2,15000,1130,Super Area,Bangalore,Unfurnished,Family,2,Contact Owner,June,Ground,Whitefield,1102
2,10000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Abbigere,1103
1,7000,100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Chikkabanavara,1104
1,8000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Rajajinagar,1105
2,35000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,May,1,MG Road,1106
2,16000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Bilekahalli,1107
1,8000,400,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Hebbal,1108
2,13000,1000,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Horamavu,1109
2,10000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Krishnarajapura,1110
3,55000,1603,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,May,6,Magadi Main Rd,1111
3,15000,1200,Super Area,Bangalore,Semi-Furnished,Family,3,Contact Owner,May,Ground,Bagalakunte,1112
1,12000,420,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,July,2,HAL Old Airport Rd,1113
2,9000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,3,Gottigere,1114
3,36000,1771,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,July,10,Gottigere,1115
1,17000,610,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,10,Outer Ring Rd,1116
1,8000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,3,Dooravani Nagar,1117
1,7500,550,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Hommadevanahalli,1118
2,9500,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,MS Palya,1119
2,13500,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,June,1,Mathikere,1120
1,9000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Ramamurthy Nagar,1121
1,7000,360,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,J. P. Nagar,1122
2,12000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,2,1,1123
2,12000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,July,1,Electronic City,1124
1,8500,480,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,June,2,Prakruthi Twp,1125
2,18000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,Ground,Magadi Main Rd,1126
1,11000,800,Super Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,June,Ground,Dr.Shivaram Karanth Nagar,1127
3,18000,900,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,May,2,Rajajinagar,1128
3,17000,1450,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,June,Ground,Rayasandra,1129
1,6500,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Rajajinagar,1130
2,11500,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Coffee Board Layout,1131
2,22000,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,2,Banaswadi,1132
1,13000,450,Carpet Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,May,3,BG Road,1133
3,20000,773,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,June,2,Mysore Rd,1134
2,10000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Kengeri,1135
1,20000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Rayasandra,1136
2,20000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Basavanagudi,1137
1,8000,200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,HAL Old Airport Rd,1138
1,11000,600,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,June,1,Hebbal,1139
3,40000,1840,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,5,Horamavu,1140
3,30000,1600,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Agent,June,2,2,1141
2,8000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Electronic City,1142
2,12000,950,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,NRI Layout,1143
2,12000,905,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,June,3,Kanakapura Rd,1144
3,20000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,April,Ground,MS Palya,1145
3,13000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Krishnarajapura,1146
2,17500,1080,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,June,1,Electronic City,1147
1,8000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Basaweshwara Nagar,1148
1,7500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Bommanahalli,1149
1,6000,300,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Naagarabhaavi,1150
2,32900,1200,Carpet Area,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,July,3,Marathahalli,1151
2,15000,800,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,May,1,J. P. Nagar,1152
2,10000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Magadi Main Rd,1153
3,21000,1159,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,May,4,Electronic City,1154
4,63000,2650,Carpet Area,Bangalore,Unfurnished,Bachelors,5,Contact Agent,June,16,Kanakapura Rd,1155
1,6900,50,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,May,Ground,Kodigehalli,1156
2,14000,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Vijayanagar,1157
1,14500,550,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,May,4,Mahadevapura,1158
2,8000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Mallasandra,1159
2,18000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Hebbal Kempapura,1160
2,20000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,2,Rajajinagar,1161
1,14000,750,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,April,3,Outer Ring Rd,1162
1,11500,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Mahadevapura,1163
3,15000,1360,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,5,Chandapura,1164
2,18000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Electronic City,1165
2,15000,1050,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Electronic City,1166
2,12000,840,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Medahalli,1167
3,150000,3250,Carpet Area,Bangalore,Furnished,Bachelors/Family,4,Contact Agent,May,2,Vasanth Nagar,1168
1,10000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Naagarabhaavi,1169
2,8000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Gottigere,1170
2,40000,1300,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,2,Indiranagar,1171
2,16000,900,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,May,3,Kodihalli,1172
2,23000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,2,Kodihalli,1173
1,7000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Kadugodi,1174
2,17500,1250,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,May,1,Yeswanthpur,1175
1,10000,415,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,3,HAL Old Airport Rd,1176
3,39000,1200,Super Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,June,1,Vidyaranyapura,1177
3,22000,1200,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,May,4,Bommasandra,1178
2,18000,1000,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,June,2,Gottigere,1179
2,23000,1300,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,May,3,Bengaluru,1180
2,20000,1150,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,April,2,Outer Ring Rd,1181
1,10000,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,July,3,Malleshpalya,1182
1,15000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,July,5,Mahadevapura,1183
2,17000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,3,Bommanahalli,1184
3,56000,1900,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,June,6,3,1185
2,25000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Seshadripuram,1186
3,31000,1757,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,July,9,Outer Ring Rd,1187
1,5000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Palace Guttahalli,1188
2,16000,1200,Super Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,May,Ground,Dr.Shivaram Karanth Nagar,1189
1,20000,800,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Agent,July,Ground,Koramangala,1190
3,28000,1281,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,2,Banaswadi,1191
2,18000,1450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Outer Ring Rd,1192
1,12000,600,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,June,3,Basavanagara,1193
2,20000,980,Super Area,Bangalore,Furnished,Family,2,Contact Owner,June,3,Mathikere,1194
3,25000,1500,Super Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,May,1,Indiranagar,1195
3,35000,1800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,July,1,Whitefield,1196
1,7000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,July,1,C V Raman Nagar,1197
1,7500,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Banashankari 3rd Stage,1198
2,14000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Krishnarajapura,1199
2,20000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,May,1,Kanakapura Rd,1200
4,380000,3500,Carpet Area,Bangalore,Semi-Furnished,Bachelors,5,Contact Agent,June,2,Lavelle Road,1201
2,21000,1100,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,2,HAL Old Airport Rd,1202
2,15000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Yeswanthpur,1203
2,10000,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,NRI Layout,1204
2,11500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,VHVH+9CM,1205
3,22000,1450,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,April,Ground,BG Road,1206
2,19000,1221,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,June,2,Hosur Rd,1207
2,12000,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Doddanekundi,1208
1,7000,200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Phase 2,1209
2,15000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Attibele,1210
2,23000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,3,Outer Ring Rd,1211
1,6500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Electronic City,1212
3,29000,1800,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,July,3,VHVH+9CM,1213
2,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,May,2,Mathikere,1214
2,12500,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,OMBR Layout,1215
1,8000,416,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,19,Kengeri Hobli,1216
1,6000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Hosur Rd,1217
3,16000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Uttarahalli Hobli,1218
3,45000,1600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,June,1,Malleshwaram,1219
3,14000,1800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,5,Yelahanka,1220
2,20000,900,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Electronic City,1221
1,11000,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,3,VHVH+9CM,1222
3,55000,1800,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,May,1,Hosur Rd,1223
1,8500,350,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Bommanahalli,1224
2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,Ground,Vidyaranyapura,1225
2,12000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Mysore Rd,1226
1,7500,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,May,3,Electronics City Phase 1,1227
2,16000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,BG Road,1228
2,20000,1150,Carpet Area,Bangalore,Furnished,Family,2,Contact Agent,June,2,Hennur Bagalur Main Rd,1229
2,14500,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,Ground,Basavanagara,1230
2,14000,900,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,June,4,Indiranagar,1231
1,7000,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Bellary Rd,1232
2,27500,1130,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,HAL Old Airport Rd,1233
2,18000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,Vijayanagar,1234
2,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Varthur,1235
3,31000,1700,Super Area,Bangalore,Furnished,Family,3,Contact Owner,May,6,Electronics City Phase 1,1236
2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,2,Horamavu,1237
1,11000,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,BTM Layout,1238
1,4500,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Tumkur Rd,1239
1,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Krishnarajapura,1240
2,10000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Ramamurthy Nagar,1241
1,9000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Nandini Layout,1242
2,16000,1050,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Basaveshwar Nagar,1243
1,15000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,July,3,Mahadevapura,1244
1,3500,150,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Yeswanthpur,1245
2,16000,1400,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,May,1,Hebbal,1246
3,30000,1350,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Krishnarajapura,1247
2,12000,1020,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Electronic City,1248
1,9000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Byrathi,1249
1,6000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,3,Doddanagamangala Village,1250
1,20000,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,July,2,Mahadevapura,1251
3,30000,1400,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,May,2,1,1252
2,15000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,July,1,Whitefield,1253
2,20000,1100,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Kodihalli,1254
3,25000,1500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Kammanahalli,1255
2,17000,800,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,July,Ground,J. P. Nagar,1256
2,16500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,2,Padmanabhanagar,1257
1,7000,450,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Bellary Rd,1258
3,30000,1425,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Phase 2,1259
2,8500,720,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Krishnarajapura,1260
1,8000,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Kadugodi,1261
2,20000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Jayanagar,1262
3,30000,1645,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,May,6,Phase 2,1263
3,30000,1893,Super Area,Bangalore,Semi-Furnished,Bachelors,4,Contact Agent,June,Ground,Begur Rd,1264
1,10000,650,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,June,4,VHVH+9CM,1265
1,18000,400,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,June,Ground,BDA Complex,1266
2,30000,1296,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,July,9,Kanakapura Rd,1267
2,20000,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,June,4,Indiranagar,1268
1,16500,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,July,4,HAL Old Airport Rd,1269
1,15000,600,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,June,3,J. P. Nagar,1270
4,130000,4800,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,July,11,Whitefield,1271
2,15000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Srinagar,1272
1,70000,800,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,June,1,BDA Complex,1273
1,22000,455,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,2,HAL Old Airport Rd,1274
2,9750,575,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,June,Ground,Varanasi,1275
2,12000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Munnekollal,1276
3,60000,1550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,July,2,19th Cross Rd,1277
2,11000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Krishnarajapura,1278
2,12000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Srinagar,1279
1,11000,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,1,HAL Old Airport Rd,1280
2,19000,1350,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Coffee Board Layout,1281
1,7500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,3,Outer Ring Rd,1282
3,55000,2150,Super Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,July,3,Basavanagudi,1283
2,11000,1080,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,3,Hosakerehalli,1284
3,50000,1450,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,June,3,HAL Old Airport Rd,1285
2,13500,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,May,2,Anantapuram,1286
2,16500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,BG Road,1287
1,7000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,July,2,Bilekahalli,1288
2,10000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,July,2,Jyothi Nagar,1289
1,7000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Kanakapura Rd,1290
1,18000,800,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Gottigere,1291
1,9000,450,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Nandini Layout,1292
3,60000,2080,Carpet Area,Bangalore,Semi-Furnished,Family,3,Contact Owner,July,2,Pulikeshi Nagar,1293
3,3500000,2500,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,June,4,Marathahalli,1294
2,12500,650,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,3,Banashankari,1295
2,16000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Padmanabhanagar,1296
2,30000,1025,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,2,Indiranagar,1297
2,17000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,June,1,BG Road,1298
1,8000,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Banaswadi,1299
2,16500,1050,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,July,Ground,Vidyaranyapura,1300
2,13000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Banashankari 3rd Stage,1301
2,17000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,VHVH+9CM,1302
3,15000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,4,1303
3,35000,1600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,June,20,Hennur Main Rd,1304
2,13000,1180,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,May,1,Electronic City,1305
2,12000,1400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,April,2,Kothanur,1306
1,10000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,April,2,Whitefield,1307
1,6000,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Krishnarajapura,1308
2,8900,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,1,Sarjapur - Marathahalli Rd,1309
3,40000,1900,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,June,3,Basavanagudi,1310
2,18500,1080,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,July,3,Outer Ring Rd,1311
2,16000,1281,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Padmanabhanagar,1312
